CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10380,1181.65,0.58,4113.89,1111.36,133.46,1121.91,0.48,0.22,0.26,0.0,1,23,7043.12,3314.75,1072.66,0.42,29
C10381,6967.37,0.7,4289.24,1302.72,151.6,2522.51,0.42,0.09,0.09,0.09,1,10,5651.19,2976.64,481.54,0.2,22
C10382,6289.43,0.98,4584.01,103.14,1151.99,1304.25,0.02,0.49,0.33,0.17,1,16,6758.52,2348.93,1490.34,0.21,25
C10383,8774.72,0.63,2160.62,786.13,1136.38,45.44,0.2,0.28,0.43,0.11,0,18,9439.83,4341.38,952.14,0.07,26
C10384,7350.71,0.83,1601.15,110.69,1757.29,3241.49,0.37,0.34,0.13,0.16,0,24,14997.27,5314.87,596.64,0.02,35
C10385,8034.81,0.66,2915.17,2638.77,1120.17,2555.47,0.5,0.16,0.25,0.26,0,20,7901.89,130.75,1605.87,0.32,15
C10386,2820.35,0.89,1862.15,737.76,1919.98,2227.59,0.45,0.05,0.49,0.27,2,16,3918.92,5608.34,1396.46,0.03,25
C10387,1774.4,0.57,3009.36,1676.44,106.9,4834.84,0.59,0.49,0.17,0.08,3,24,3279.85,3117.94,1875.31,0.37,13
C10388,7506.15,0.98,3530.87,126.55,205.04,2856.0,0.22,0.14,0.3,0.14,1,16,1592.9,4234.32,339.23,0.27,23
C10389,8068.35,0.73,3445.14,2003.87,97.69,4317.16,0.45,0.21,0.05,0.16,0,5,8823.44,5148.18,1301.89,0.1,30
C10390,9905.05,0.62,1879.02,975.85,378.7,697.25,0.07,0.32,0.3,0.28,0,11,8624.01,2855.91,496.04,0.27,23
C10391,4126.18,0.54,842.63,2694.78,1087.13,2846.03,0.33,0.01,0.04,0.3,1,13,3873.27,5026.35,1808.13,0.09,23
C10392,3720.18,0.58,2158.34,2665.47,1294.69,4339.9,0.6,0.41,0.48,0.07,1,14,10734.61,1147.96,208.0,0.22,34
C10393,7764.13,0.76,721.54,982.62,100.71,2915.53,0.55,0.27,0.36,0.22,1,15,11375.5,1039.09,1315.76,0.4,7
C10394,3408.04,0.67,4451.58,2703.87,1892.48,3590.07,0.79,0.14,0.39,0.11,0,14,4627.37,3979.08,1584.26,0.23,17
C10395,9307.57,0.91,1735.93,2988.51,1685.91,1860.22,0.22,0.03,0.35,0.0,0,14,5817.4,5233.84,716.29,0.07,15
C10396,8584.13,0.72,780.75,2477.99,600.26,462.25,0.4,0.08,0.29,0.0,1,11,14866.6,5365.31,1908.73,0.36,13
C10397,4289.94,0.62,136.98,2536.17,163.6,2289.5,0.26,0.45,0.22,0.14,1,22,,3898.07,1702.95,0.09,24
C10398,7508.71,0.81,3232.65,754.54,348.08,1972.4,0.35,0.34,0.43,0.15,0,12,11651.22,3200.39,596.29,0.37,15
C10399,7545.43,0.85,3188.14,1734.34,262.62,4335.3,0.69,0.12,0.48,0.01,1,19,7338.16,2055.22,25.01,0.24,16
C10400,1031.24,0.58,1709.61,211.1,255.33,1219.98,0.55,0.03,0.25,0.21,2,19,,5882.0,600.35,0.23,19
C10401,9025.53,0.58,367.84,293.8,1041.94,4833.67,0.71,0.35,0.47,0.09,0,13,11766.33,1986.2,569.81,0.43,31
C10402,5052.52,0.52,2054.05,2996.69,499.24,4790.69,0.16,0.29,0.29,0.17,1,16,10348.58,4490.7,1781.03,0.35,20
C10403,8264.57,0.87,1562.98,986.65,722.7,1238.16,0.7,0.2,0.27,0.09,2,21,12966.9,3238.69,1934.57,0.02,35
C10404,3200.5,0.83,3388.83,2247.07,1979.12,1740.26,0.05,0.18,0.23,0.05,0,14,14149.06,3690.22,150.18,0.15,29
C10405,8955.23,0.74,3032.84,2421.93,1371.79,4477.78,0.71,0.11,0.1,0.12,2,11,9119.77,2421.54,947.88,0.44,28
C10406,3892.02,0.92,1829.32,2575.49,1898.47,4833.11,0.26,0.33,0.0,0.07,2,19,4324.56,5792.46,1101.18,0.01,15
C10407,108.38,0.9,1097.28,2992.91,293.69,2217.2,0.25,0.49,0.12,0.16,1,12,6580.81,3472.93,194.89,0.27,9
C10408,9053.82,0.79,4940.3,732.07,770.46,1604.99,0.41,0.09,0.25,0.06,0,15,11616.28,5632.95,761.22,0.36,12
C10409,912.87,0.93,2275.47,130.65,1113.92,2630.47,0.75,0.3,0.19,0.15,1,12,10112.37,144.79,640.99,0.31,16
C10410,3193.14,0.6,3444.49,1239.46,162.75,3438.85,0.04,0.21,0.22,0.05,1,17,3489.18,3478.76,1076.75,0.38,29
C10411,9500.62,0.56,711.36,398.94,18.33,1367.37,0.28,0.22,0.49,0.2,0,11,1717.35,4331.4,1325.77,0.36,27
C10412,9506.07,0.63,2433.09,77.05,1344.16,3682.37,0.69,0.13,0.18,0.23,3,11,10561.46,4495.97,1409.94,0.35,27
C10413,5734.38,0.53,147.41,1087.68,1287.22,258.29,0.32,0.41,0.23,0.03,0,10,4515.11,5439.36,282.14,0.41,8
C10414,6318.37,0.77,2532.22,2353.38,827.47,246.47,0.16,0.24,0.07,0.14,0,13,7995.38,125.97,1627.77,0.32,10
C10415,4484.46,0.97,4820.45,1702.88,984.39,1931.44,0.34,0.27,0.02,0.02,0,11,11454.45,101.95,1360.3,0.2,31
C10416,2932.11,0.52,1927.19,945.21,836.73,1767.37,0.31,0.15,0.39,0.18,2,11,8877.33,2886.35,1779.26,0.24,7
C10417,3286.65,0.56,204.59,1966.48,57.77,1578.17,0.73,0.09,0.29,0.08,2,18,2166.24,272.83,904.18,0.36,17
C10418,6725.18,0.73,164.47,703.73,677.39,2455.1,0.61,0.04,0.38,0.16,2,14,3598.12,5849.74,1788.84,0.44,26
C10419,7523.75,0.97,1946.05,53.0,362.39,1603.67,0.4,0.36,0.07,0.16,0,26,4070.59,1410.18,1732.89,0.14,10
C10420,7915.79,0.66,808.52,2295.42,205.86,961.29,0.79,0.1,0.29,0.28,0,11,4610.1,2888.72,882.43,0.17,12
C10421,7896.18,0.75,126.53,1874.99,1913.87,1547.35,0.37,0.35,0.13,0.16,4,9,8915.65,460.71,768.48,0.47,9
C10422,912.06,0.52,3783.51,2289.28,1202.73,4874.52,0.05,0.2,0.11,0.17,1,16,8055.52,3180.09,1866.3,0.29,35
C10423,4944.2,0.57,2298.03,126.42,1460.03,2055.57,0.21,0.21,0.01,0.12,2,13,3844.24,2341.74,1433.18,0.09,16
C10424,575.59,0.99,1453.33,2512.99,637.57,2223.56,0.35,0.23,0.07,0.28,2,24,1945.77,363.49,1857.21,0.33,27
C10425,5495.29,0.98,4501.42,1862.38,792.36,2882.72,0.13,0.18,0.15,0.23,3,17,3400.05,2077.23,1595.98,0.5,14
C10426,4415.31,0.5,589.53,1694.55,481.48,4916.7,0.76,0.05,0.06,0.09,0,8,14781.34,2409.47,1222.5,0.41,9
C10427,8877.04,0.98,4780.03,1877.6,202.96,1208.01,0.61,0.15,0.49,0.25,1,9,7559.66,5940.54,240.55,0.37,32
C10428,3509.15,0.82,1576.69,2594.66,366.27,3406.41,0.21,0.33,0.15,0.13,1,11,13142.84,1326.53,590.05,0.1,35
C10429,1170.67,0.93,4443.13,1764.94,1597.05,3579.92,0.47,0.33,0.07,0.25,2,17,12882.53,3314.2,1938.0,0.44,27
C10430,1429.92,0.73,3018.68,1747.04,1358.32,3036.62,0.58,0.14,0.1,0.25,0,17,8161.27,5925.16,,0.26,34
C10431,7615.11,0.76,4135.27,2972.13,1098.39,442.89,0.75,0.23,0.29,0.06,1,16,10893.63,4772.91,195.58,0.44,33
C10432,6182.18,0.74,4920.23,2272.62,955.43,3384.36,0.71,0.1,0.03,0.21,0,23,3698.53,5960.87,1418.03,0.16,14
C10433,1011.23,0.83,1449.14,1332.46,1845.64,320.47,0.41,0.11,0.43,0.09,1,20,10637.55,5812.96,1470.67,0.03,31
C10434,841.07,0.57,4806.07,2125.12,154.74,2980.71,0.62,0.01,0.48,0.09,1,24,4813.38,2988.28,578.06,0.24,17
C10435,7009.69,0.51,1953.51,1173.8,568.4,3697.91,0.45,0.45,0.12,0.09,0,14,12648.87,4208.62,602.37,0.13,21
C10436,727.63,0.65,1933.7,694.34,706.38,1054.85,0.44,0.11,0.23,0.22,1,23,2172.14,751.61,943.1,0.36,6
C10437,8218.6,0.85,1708.53,1794.59,1567.03,4208.11,0.09,0.11,0.01,0.07,0,12,11823.94,2702.78,53.36,0.48,13
C10438,7062.42,0.6,2711.62,2785.26,1985.1,151.77,0.1,0.14,0.32,0.0,1,12,2399.12,4873.21,1580.75,0.35,6
C10439,813.49,0.84,779.18,2788.13,488.93,4219.06,0.42,0.06,0.21,0.21,1,11,13336.65,3081.48,641.01,0.44,25
C10440,848.38,0.98,2773.02,1032.3,1749.87,2301.65,0.22,0.32,0.14,0.05,0,21,5258.86,4245.92,1708.99,0.23,24
C10441,9866.4,0.55,2713.11,1587.76,1662.94,1087.94,0.02,0.04,0.1,0.03,0,15,10161.51,4499.93,1607.23,0.39,9
C10442,3742.71,0.84,3811.89,642.79,457.07,668.89,0.58,0.07,0.33,0.07,1,15,7825.03,1595.47,1326.19,0.42,19
C10443,3706.42,0.72,4169.91,2986.94,804.67,4766.54,0.03,0.32,0.21,0.11,1,13,6128.24,5266.63,656.5,0.36,28
C10444,8128.0,0.93,2207.8,2943.54,825.25,363.33,0.48,0.17,0.09,0.14,1,14,10036.19,2812.95,1037.47,0.25,34
C10445,9472.49,0.59,1518.64,1952.03,1956.66,995.47,0.43,0.35,0.34,0.01,1,16,14265.32,1340.09,895.21,0.31,19
C10446,9860.01,0.85,1304.08,2415.2,369.97,1739.11,0.78,0.28,0.28,0.29,0,15,1577.78,5205.95,684.37,0.35,14
C10447,7533.78,0.92,981.17,2148.15,1600.32,3101.17,0.39,0.13,0.43,0.21,0,14,13863.94,2565.13,1697.79,0.13,14
C10448,3762.6,0.97,297.66,1783.54,675.04,2724.01,0.05,0.33,0.06,0.1,0,11,9527.14,4526.84,972.18,0.4,31
C10449,835.01,0.84,1718.82,169.51,1464.43,628.22,0.44,0.06,0.39,0.1,0,18,12302.4,3333.4,1667.12,0.48,22
C10450,7771.47,0.75,1358.54,1369.75,845.82,1448.64,0.67,0.27,0.34,0.13,1,12,6374.25,2353.04,219.38,0.23,20
C10451,5584.04,0.81,4832.42,2027.61,1160.94,1193.76,0.8,0.22,0.06,0.19,2,9,7605.8,4878.27,290.64,0.35,15
C10452,4242.22,0.93,2792.97,2035.82,1666.9,1067.71,0.34,0.13,0.35,0.04,1,9,13163.91,3548.37,1954.87,0.37,22
C10453,9063.54,0.79,1742.91,1125.64,1610.29,2055.72,0.26,0.3,0.22,0.06,1,15,6807.87,2404.32,1179.66,0.33,14
C10454,1111.97,0.52,2906.53,2825.66,1734.18,3520.16,0.73,0.44,0.47,0.26,0,12,8485.23,746.63,1024.44,0.27,9
C10455,4926.25,0.97,704.59,510.4,128.64,1087.26,0.15,0.5,0.07,0.08,0,19,1282.73,5383.13,1051.08,0.44,33
C10456,113.54,0.84,2225.78,1506.07,1387.18,1833.39,0.49,0.3,0.32,0.11,1,8,3220.37,309.27,438.38,0.22,34
C10457,4686.61,0.84,3134.91,2075.74,288.57,1954.59,0.32,0.2,0.19,0.26,2,16,9983.61,5192.81,1440.22,0.03,19
C10458,563.03,0.61,2449.6,2094.44,837.48,4882.28,0.03,0.11,0.48,0.2,0,13,11037.68,2223.77,178.71,0.42,8
C10459,1188.18,0.83,2014.88,1949.43,1101.69,4773.33,0.28,0.13,0.16,0.1,1,16,9156.41,3872.1,1150.91,0.34,34
C10460,1175.26,0.7,4969.3,833.11,811.45,4000.69,0.21,0.24,0.48,0.21,0,15,3006.34,5540.98,1145.83,0.42,30
C10461,6492.1,0.83,4402.77,477.06,1044.03,1208.29,0.55,0.18,0.45,0.01,2,16,7235.68,995.07,1829.23,0.07,26
C10462,7460.45,0.55,3120.8,1911.46,1993.09,340.19,0.76,0.46,0.14,0.22,0,17,5971.33,3445.01,1057.1,0.02,17
C10463,5833.69,0.83,2851.19,1801.91,279.08,1584.52,0.21,0.18,0.4,0.15,1,13,7939.26,4610.15,282.75,0.47,27
C10464,9621.73,1.0,3107.1,546.27,1354.16,1333.97,0.65,0.19,0.5,0.24,1,19,13184.61,4569.74,1149.78,0.07,6
C10465,3748.71,0.52,1014.55,2118.37,798.04,2529.63,0.04,0.19,0.13,0.29,3,14,11862.06,3201.23,191.74,0.4,6
C10466,2857.12,0.99,1981.74,1370.96,274.69,3888.64,0.43,0.42,0.22,0.28,0,14,2175.85,3785.96,415.55,0.41,18
C10467,8685.99,0.7,206.9,2006.6,325.89,4291.61,0.06,0.33,0.26,0.27,1,9,13464.33,4569.41,71.91,0.35,19
C10468,2235.96,0.94,2382.97,2513.73,1899.05,4224.32,0.75,0.31,0.15,0.15,0,19,7604.74,5062.06,1031.45,0.07,21
C10469,9632.23,0.89,2719.69,517.49,1760.41,1798.38,0.61,0.17,0.01,0.11,1,12,11414.07,4594.7,178.22,0.33,12
C10470,121.54,0.78,1146.47,67.24,1815.01,3436.17,0.53,0.41,0.11,0.14,0,12,2960.55,2188.63,944.09,0.44,15
C10471,9698.79,0.87,4820.5,2339.52,1983.15,1564.17,0.66,0.02,0.14,0.21,0,10,10390.07,5980.69,1866.56,0.21,20
C10472,431.6,0.94,4548.18,1833.0,424.55,304.53,0.52,0.44,0.22,0.27,2,18,,2663.57,1442.33,0.21,13
C10473,8911.43,0.7,3613.49,2101.92,717.32,3507.83,0.78,0.26,0.09,0.06,0,13,7137.33,244.34,,0.22,16
C10474,5277.01,0.66,2671.6,2516.08,1341.75,49.14,0.57,0.2,0.44,0.28,0,16,1236.08,2239.44,456.18,0.04,29
C10475,9929.65,0.83,4351.15,2410.4,972.77,2045.91,0.74,0.25,0.35,0.24,1,18,3122.55,853.92,1350.59,0.45,19
C10476,737.97,0.9,661.96,2883.15,842.6,1646.9,0.41,0.33,0.04,0.29,1,13,2289.13,816.51,1790.46,0.43,18
C10477,5538.54,0.88,3954.64,1612.45,722.04,3466.89,0.09,0.01,0.33,0.26,1,11,4356.42,1761.06,75.51,0.5,28
C10478,9693.03,0.9,632.86,1470.6,1191.62,3831.23,0.42,0.44,0.33,0.08,1,9,2400.25,414.92,1626.78,0.29,18
C10479,5230.98,0.72,3973.11,1211.64,1155.43,1520.47,0.1,0.22,0.48,0.03,0,5,10686.74,4162.22,1128.01,0.38,32
C10480,6293.99,0.91,1386.08,469.54,331.3,4058.14,0.47,0.17,0.0,0.03,2,18,1406.56,536.53,1096.72,0.1,14
C10481,6957.49,0.56,4386.68,1722.1,948.76,1469.58,0.39,0.07,0.12,0.09,2,17,9648.37,1299.41,1916.05,0.33,22
C10482,4545.41,0.77,4720.77,838.27,1111.41,2231.63,0.5,0.22,0.46,0.18,0,24,2969.91,648.11,1497.81,0.32,23
C10483,6275.58,0.5,752.49,2764.71,1144.87,3635.09,0.01,0.25,0.47,0.24,1,11,14232.26,472.69,1701.74,0.45,34
C10484,5843.14,0.66,2318.75,1753.74,428.11,3464.6,0.16,0.2,0.36,0.27,0,11,14063.32,1679.73,714.45,0.42,24
C10485,9011.58,0.68,4905.13,1782.59,1487.12,4936.84,0.39,0.34,0.38,0.19,1,18,4157.04,3474.2,1113.18,0.47,18
C10486,454.46,0.7,2422.2,1071.22,60.15,1125.81,0.76,0.21,0.05,0.0,0,15,9601.9,5791.64,1234.66,0.43,17
C10487,2809.63,0.85,4319.1,165.45,716.12,3311.59,0.31,0.48,0.26,0.06,2,14,1392.07,5265.78,649.95,0.43,34
C10488,9504.11,0.69,2947.77,104.91,1562.62,3048.41,0.34,0.3,0.12,0.03,2,18,14045.04,5268.01,1144.79,0.03,26
C10489,8902.64,0.72,1882.9,1275.77,1132.15,4575.49,0.57,0.4,0.09,0.11,2,16,8321.82,1138.8,480.94,0.42,25
C10490,4556.57,0.62,1436.06,262.85,529.71,781.81,0.48,0.05,0.41,0.15,2,20,1605.12,1662.95,295.32,0.3,25
C10491,6201.33,0.69,1024.08,1824.47,1392.96,3758.99,0.24,0.2,0.07,0.01,2,12,5795.0,550.72,754.2,0.19,13
C10492,2773.81,0.61,3811.37,2644.11,1139.11,2841.34,0.33,0.17,0.23,0.1,1,15,2075.89,4692.96,1481.19,0.03,29
C10493,1881.21,0.54,1938.84,2649.92,1594.52,1373.33,0.17,0.28,0.47,0.05,0,16,6501.22,511.92,1833.21,0.34,16
C10494,4636.98,0.8,2561.26,1980.55,1472.7,2372.17,0.77,0.43,0.09,0.19,0,13,10378.97,3384.5,920.85,0.16,12
C10495,3533.52,0.83,2466.7,641.58,1224.11,1668.88,0.1,0.04,0.49,0.14,0,13,7578.46,1562.47,1289.22,0.23,6
C10496,5836.56,0.81,2890.62,2590.36,981.47,2896.57,0.3,0.04,0.5,0.15,0,15,6372.11,1536.33,215.04,0.34,15
C10497,777.35,0.73,4329.23,2659.42,275.03,4445.0,0.02,0.43,0.28,0.13,3,15,2668.2,5945.28,1809.88,0.46,20
C10498,9743.95,0.69,4903.89,597.99,530.05,2846.52,0.18,0.11,0.09,0.29,2,16,4429.15,4565.0,1141.52,0.41,9
C10499,9862.11,0.93,2043.85,2214.9,844.01,3158.61,0.62,0.33,0.16,0.06,0,15,2402.01,5037.94,1562.87,0.23,6
C10500,6981.62,0.76,4139.32,866.69,1202.61,2593.74,0.16,0.27,0.21,0.15,2,22,12304.98,3474.7,1590.94,0.19,16
C10501,5360.96,0.74,3824.99,2409.89,1032.28,255.83,0.06,0.42,0.15,0.22,1,13,2893.36,5238.98,520.4,0.12,35
C10502,3095.28,0.51,2871.91,2991.74,583.49,1164.29,0.38,0.06,0.14,0.17,0,11,9335.23,3908.39,1063.06,0.19,10
C10503,8137.95,0.67,4780.68,99.78,22.86,2460.01,0.01,0.06,0.49,0.28,1,15,5798.37,5682.42,1921.35,0.06,24
C10504,6847.31,0.69,1010.37,2693.12,997.52,1551.18,0.07,0.28,0.08,0.11,0,11,4163.7,1759.9,188.37,0.49,24
C10505,1626.17,0.7,555.23,1871.67,578.4,908.82,0.65,0.47,0.37,0.14,3,21,9952.56,3612.39,1369.27,0.29,9
C10506,9109.27,0.79,4271.27,2920.41,1471.87,2520.66,0.62,0.21,0.0,0.03,0,17,7398.03,4171.77,1924.91,0.06,7
C10507,8225.37,0.77,2201.36,1400.38,57.65,1614.05,0.73,0.16,0.3,0.18,1,16,6602.04,2418.33,,0.18,12
C10508,9498.0,0.8,4236.37,2543.69,1173.81,1290.54,0.68,0.3,0.46,0.09,1,17,9299.93,5290.28,1724.28,0.27,33
C10509,7257.2,0.88,4466.52,196.56,1883.53,2319.93,0.55,0.47,0.14,0.05,4,15,7877.75,5880.84,1867.98,0.27,18
C10510,6134.15,0.91,321.66,1012.48,357.07,666.42,0.04,0.42,0.09,0.16,2,11,5248.78,3013.24,1496.7,0.02,25
C10511,4182.43,0.86,4418.49,210.38,948.58,4638.73,0.63,0.5,0.33,0.16,2,15,8826.86,2404.78,470.34,0.48,26
C10512,9327.28,0.98,2247.11,2926.28,191.93,4338.51,0.68,0.01,0.36,0.02,1,14,10372.98,2884.43,674.66,0.14,17
C10513,8660.64,0.51,2557.06,2452.75,1255.11,3538.1,0.64,0.06,0.34,0.21,2,20,1373.7,5131.15,81.26,0.01,35
C10514,452.19,0.6,3136.7,2559.12,1105.56,531.07,0.41,0.3,0.16,0.19,0,14,7522.2,3908.26,1664.59,0.04,7
C10515,263.67,0.5,4632.65,2814.52,820.66,3879.39,0.19,0.41,0.13,0.06,0,19,1807.57,364.16,1700.73,0.29,27
C10516,3764.63,0.82,105.39,264.46,1047.54,4039.79,0.68,0.14,0.48,0.14,1,13,3609.68,3298.8,1269.09,0.07,14
C10517,8105.53,0.95,2389.45,1162.94,1794.18,3838.82,0.58,0.12,0.46,0.22,3,16,8847.12,202.07,711.53,0.02,21
C10518,9872.76,0.62,3441.73,222.39,400.63,569.83,0.78,0.39,0.23,0.16,3,15,13126.64,4693.36,162.85,0.19,13
C10519,1504.17,0.96,3616.31,640.27,54.9,3219.54,0.12,0.03,0.42,0.12,2,14,13359.28,2037.04,,0.31,29
C10520,5941.31,0.53,3465.74,695.8,1724.71,4171.62,0.18,0.18,0.23,0.1,1,21,1979.22,2884.84,1455.79,0.06,23
C10521,3808.91,0.97,680.83,1412.63,1158.46,2886.77,0.17,0.25,0.21,0.18,1,20,6867.47,4812.2,1826.08,0.16,9
C10522,9699.14,0.68,1503.98,813.0,1782.41,3232.04,0.63,0.28,0.08,0.28,0,20,9162.09,374.05,1463.76,0.21,29
C10523,8421.19,0.55,1799.99,311.92,1197.92,2291.82,0.15,0.36,0.21,0.2,0,12,3058.98,1035.4,1659.1,0.08,16
C10524,8383.29,0.74,4024.14,510.8,1622.22,2643.54,0.05,0.18,0.27,0.02,0,13,11716.05,2447.97,1494.45,0.25,22
C10525,4686.93,0.63,1401.01,450.35,865.05,171.88,0.8,0.31,0.01,0.14,3,13,11419.29,1456.56,1265.07,0.04,13
C10526,4148.2,0.64,1061.42,2919.5,1502.22,3194.82,0.02,0.29,0.22,0.27,2,19,13646.77,2093.62,,0.02,24
C10527,2734.07,0.65,4787.67,2280.28,1826.95,407.24,0.67,0.27,0.39,0.03,2,20,1118.8,5989.23,1805.21,0.26,13
C10528,563.75,0.9,54.23,2903.61,1148.52,2175.07,0.29,0.32,0.34,0.3,2,14,4033.58,4969.95,1305.43,0.12,11
C10529,8647.22,0.77,4989.13,1324.82,369.76,1463.28,0.67,0.13,0.32,0.28,0,17,12580.61,5315.02,802.73,0.05,28
C10530,8129.01,0.66,3387.34,842.32,544.91,2727.14,0.44,0.04,0.45,0.02,0,8,10388.12,5628.62,176.1,0.21,7
C10531,9997.18,0.81,4144.06,2396.9,405.3,667.08,0.72,0.06,0.01,0.28,0,18,13521.46,2111.52,588.5,0.46,20
C10532,9966.37,0.86,1480.15,985.5,501.25,3458.22,0.74,0.11,0.28,0.11,1,14,,1852.75,1092.02,0.36,6
C10533,5554.32,0.64,81.43,905.16,619.77,3975.06,0.01,0.25,0.39,0.25,0,16,9357.5,1480.97,558.51,0.41,11
C10534,7689.87,0.71,3691.97,705.19,1114.72,816.77,0.06,0.42,0.27,0.13,1,16,8966.65,4997.69,450.26,0.44,33
C10535,9447.66,0.56,4172.38,397.74,1180.1,521.57,0.2,0.35,0.16,0.13,0,7,1499.44,4109.36,1059.51,0.49,24
C10536,8496.47,0.59,3704.98,776.82,858.73,727.58,0.54,0.39,0.07,0.19,0,12,8189.31,1493.41,347.94,0.38,9
C10537,2473.48,0.84,722.82,1072.41,1234.69,4385.64,0.71,0.18,0.44,0.23,1,7,9533.28,2324.26,1602.82,0.3,18
C10538,4505.44,0.59,3769.61,2025.24,172.33,2640.95,0.37,0.2,0.24,0.01,0,15,3678.1,3089.6,973.89,0.18,20
C10539,1291.59,0.76,3846.92,197.07,184.7,2336.3,0.49,0.2,0.44,0.18,0,6,4826.61,3216.03,1151.99,0.09,14
C10540,9540.51,0.85,3296.12,639.42,351.94,533.56,0.15,0.1,0.29,0.06,2,13,9964.86,5343.49,303.29,0.34,8
C10541,6061.75,0.55,3832.92,2428.98,1040.97,3247.78,0.64,0.03,0.34,0.1,1,12,7556.21,2345.34,655.91,0.5,7
C10542,2286.43,0.78,4231.15,449.3,435.85,4340.0,0.77,0.3,0.4,0.1,1,11,13012.19,5460.29,826.08,0.23,21
C10543,6717.01,0.63,3071.88,1034.51,573.74,4140.93,0.21,0.49,0.33,0.14,2,10,5793.34,2704.07,1618.34,0.36,23
C10544,6181.28,0.98,452.14,2595.33,806.62,3130.27,0.4,0.08,0.2,0.1,3,5,4733.24,4503.6,1542.62,0.25,23
C10545,3581.63,0.74,2443.26,473.23,1625.61,376.39,0.07,0.02,0.26,0.03,0,22,,5588.5,453.73,0.22,11
C10546,1135.58,0.9,397.47,257.38,37.59,561.99,0.45,0.39,0.4,0.04,1,20,13755.9,5454.7,1236.2,0.21,23
C10547,6715.73,0.78,2043.64,1458.77,1302.26,246.54,0.4,0.13,0.19,0.01,4,22,1405.9,436.02,494.48,0.25,16
C10548,5203.08,0.52,2041.46,914.23,1341.06,1287.4,0.12,0.41,0.19,0.14,2,19,11790.2,1313.66,1976.61,0.18,12
C10549,7723.18,0.82,339.39,1694.59,1599.33,678.31,0.35,0.35,0.05,0.29,1,13,2544.69,2913.74,1904.73,0.37,28
C10550,5201.64,0.98,1750.61,2413.38,1866.18,1300.24,0.27,0.47,0.46,0.03,2,12,1384.79,2646.17,1130.9,0.44,28
C10551,8521.82,0.8,563.88,420.07,50.07,1925.29,0.42,0.2,0.05,0.28,2,12,4831.74,3881.26,,0.44,19
C10552,5519.07,0.91,4043.09,1746.29,316.03,4714.91,0.47,0.33,0.32,0.22,0,14,4770.84,5673.78,1604.85,0.11,34
C10553,5609.38,0.94,4738.96,1521.47,1773.48,3051.88,0.01,0.23,0.21,0.19,1,13,12470.46,763.19,1444.79,0.45,23
C10554,8766.54,0.61,370.86,440.8,922.45,4174.87,0.61,0.32,0.2,0.19,3,20,,2765.97,,0.17,12
C10555,4034.83,0.61,4776.02,1875.76,1133.54,3551.76,0.57,0.22,0.34,0.25,1,13,14742.53,1235.23,1917.52,0.15,15
C10556,1340.15,0.81,2617.66,828.18,1329.42,562.52,0.29,0.09,0.03,0.03,0,21,10961.18,5375.23,1196.95,0.36,13
C10557,287.83,0.71,1504.83,1468.62,1361.34,3679.6,0.04,0.25,0.3,0.15,1,12,6855.58,5791.02,1276.24,0.15,29
C10558,7551.37,0.92,393.54,255.99,1864.16,1375.49,0.6,0.26,0.39,0.21,0,14,10784.99,2924.34,1700.04,0.03,19
C10559,6203.1,0.95,2508.12,1384.16,1993.93,3195.54,0.76,0.41,0.41,0.18,2,19,14992.43,713.66,1343.08,0.19,23
C10560,7040.8,0.68,3974.63,926.33,1443.11,1704.81,0.19,0.37,0.09,0.25,2,19,10941.99,4733.24,1468.54,0.36,10
C10561,2129.64,0.62,3538.36,2468.92,581.57,4988.36,0.26,0.33,0.45,0.02,0,21,11663.54,4213.13,476.0,0.16,19
C10562,1363.71,0.89,260.63,180.37,1760.71,1317.76,0.15,0.06,0.33,0.21,0,14,14137.11,2192.56,748.82,0.31,27
C10563,145.45,0.64,373.78,1261.64,107.95,1395.65,0.46,0.36,0.44,0.16,2,28,2591.12,5335.7,303.13,0.33,30
C10564,3505.88,0.91,2020.34,1380.71,469.85,4653.36,0.12,0.25,0.24,0.11,0,13,10866.98,5857.41,1016.47,0.37,27
C10565,5899.18,0.71,1483.5,2177.77,1795.8,123.22,0.28,0.45,0.27,0.1,5,17,12911.28,3391.34,916.9,0.45,31
C10566,3922.44,0.83,1169.6,1727.12,519.82,3483.44,0.56,0.46,0.46,0.19,1,15,14361.3,3437.79,1994.35,0.22,27
C10567,4374.75,0.55,1412.21,2004.96,449.1,3626.63,0.45,0.03,0.45,0.27,1,12,3953.57,1855.33,1226.31,0.08,15
C10568,9041.59,0.81,4019.38,2333.38,284.87,4181.89,0.31,0.41,0.22,0.15,0,10,8055.01,3548.59,1575.03,0.16,31
C10569,3482.55,0.73,4646.85,2587.99,1719.63,4872.2,0.34,0.02,0.14,0.25,2,12,10527.77,2693.89,674.69,0.22,20
C10570,5139.89,0.79,2031.46,948.49,1005.12,4878.01,0.45,0.18,0.2,0.12,1,15,4464.55,1882.93,1664.78,0.36,11
